Date,Home,H_Country,H_Score,Away,A_Country,A_Score,Stage,Season
02/07/13,Shirak,Armenia,3,Tre Penne,San Marino,0,cl-1st-qualifying-round,2013
09/07/13,Tre Penne,San Marino,1,Shirak,Armenia,0,cl-1st-qualifying-round,2013
02/07/13,Lusitanos,Andorra,2,EB / Streymur,Faroe Islands,2,cl-1st-qualifying-round,2013
09/07/13,EB / Streymur,Faroe Islands,5,Lusitanos,Andorra,1,cl-1st-qualifying-round,2013
16/07/13,Viktoria Plzeň,Czech Republic,4,Željezničar,Bosnia Herzegovina,3,cl-2nd-qualifying-round,2013
23/07/13,Željezničar,Bosnia Herzegovina,1,Viktoria Plzeň,Czech Republic,2,cl-2nd-qualifying-round,2013
16/07/13,BATE,Belarus,0,Shakhter Karagandy,Kazakhstan,1,cl-2nd-qualifying-round,2013
23/07/13,Shakhter Karagandy,Kazakhstan,1,BATE,Belarus,0,cl-2nd-qualifying-round,2013
16/07/13,Dinamo Tbilisi,Georgia,6,EB / Streymur,Faroe Islands,1,cl-2nd-qualifying-round,2013
23/07/13,EB / Streymur,Faroe Islands,1,Dinamo Tbilisi,Georgia,3,cl-2nd-qualifying-round,2013
16/07/13,Sheriff,Moldova,1,Sutjeska,Montenegro,1,cl-2nd-qualifying-round,2013
23/07/13,Sutjeska,Montenegro,0,Sheriff,Moldova,5,cl-2nd-qualifying-round,2013
16/07/13,Ekranas,Lithuania,0,FH,Iceland,1,cl-2nd-qualifying-round,2013
23/07/13,FH,Iceland,2,Ekranas,Lithuania,1,cl-2nd-qualifying-round,2013
16/07/13,Fola Esch,Luxembourg,0,Dinamo Zagreb,Croatia,5,cl-2nd-qualifying-round,2013
23/07/13,Dinamo Zagreb,Croatia,1,Fola Esch,Luxembourg,0,cl-2nd-qualifying-round,2013
16/07/13,Birkirkara,Malta,0,Maribor,Slovenia,0,cl-2nd-qualifying-round,2013
24/07/13,Maribor,Slovenia,2,Birkirkara,Malta,0,cl-2nd-qualifying-round,2013
